run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0,v3-qwen3.5-2b,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112251088414Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfd06-bf51-7110-a55b-82ead4478a82,019dfd06-bf51-7110-a55b-82ead4478a82,LangGraph,success,,2026-05-06T11:22:51.089881Z,2026-05-06T11:23:00.580989Z,9.491108,5578,103,5681,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd06-bf51-7110-a55b-82ead4478a82.json,True,6.0
v3-qwen3.5-2b-20260506T112300585961Z-5a8c7595554299585d9e36b6-r0,v3-qwen3.5-2b,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,United States ambassador to Ghana and to Czechoslovakia,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Indriati Iskak; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Molly Childers; Nelson Rockefeller; Shirley Temple,3,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112300585961Z-5a8c7595554299585d9e36b6-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019dfd06-e46a-7612-a0f5-03b3180f784b,019dfd06-e46a-7612-a0f5-03b3180f784b,LangGraph,success,,2026-05-06T11:23:00.586173Z,2026-05-06T11:23:09.671913Z,9.08574,6472,130,6602,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd06-e46a-7612-a0f5-03b3180f784b.json,False,10.0
v3-qwen3.5-2b-20260506T112309673978Z-5a85ea095542994775f606a8-r0,v3-qwen3.5-2b,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112309673978Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfd07-07ea-7580-aa5e-83afb3a0aa1e,019dfd07-07ea-7580-aa5e-83afb3a0aa1e,LangGraph,success,,2026-05-06T11:23:09.674159Z,2026-05-06T11:23:15.532891Z,5.858732,3903,90,3993,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd07-07ea-7580-aa5e-83afb3a0aa1e.json,True,33.0
v3-qwen3.5-2b-20260506T112315534547Z-5adbf0a255429947ff17385a-r0,v3-qwen3.5-2b,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112315534547Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfd07-1ece-7f12-bc8c-9c08b2a53e7f,019dfd07-1ece-7f12-bc8c-9c08b2a53e7f,LangGraph,success,,2026-05-06T11:23:15.534742Z,2026-05-06T11:23:22.884284Z,7.349542,5239,111,5350,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd07-1ece-7f12-bc8c-9c08b2a53e7f.json,True,24.0
v3-qwen3.5-2b-20260506T112322885820Z-5a8e3ea95542995a26add48d-r0,v3-qwen3.5-2b,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Greenwich Village,Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Bunny Grant; Doc NYC; End of the Road (1970 film); I Love NY (2015 film); Nola (film); Pamela B. Green,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112322885820Z-5a8e3ea95542995a26add48d-r0.json,False,False,True,1.0,0.4,0.5714285714285715,True,1.0,019dfd07-3b85-7942-b77e-5867d7e8226d,019dfd07-3b85-7942-b77e-5867d7e8226d,LangGraph,success,,2026-05-06T11:23:22.885988Z,2026-05-06T11:23:28.098701Z,5.212713,3333,84,3417,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd07-3b85-7942-b77e-5867d7e8226d.json,False,46.0
v3-qwen3.5-2b-20260506T112328100229Z-5abd94525542992ac4f382d2-r0,v3-qwen3.5-2b,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112328100229Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019dfd07-4fe4-73f3-b8d2-f8cbe6b6583e,019dfd07-4fe4-73f3-b8d2-f8cbe6b6583e,LangGraph,success,,2026-05-06T11:23:28.100435Z,2026-05-06T11:23:30.625742Z,2.525307,1377,47,1424,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd07-4fe4-73f3-b8d2-f8cbe6b6583e.json,True,64.0
v3-qwen3.5-2b-20260506T112330627102Z-5a85b2d95542997b5ce40028-r0,v3-qwen3.5-2b,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112330627102Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019dfd07-59c3-7f03-8234-c0220fb11d2e,019dfd07-59c3-7f03-8234-c0220fb11d2e,LangGraph,success,,2026-05-06T11:23:30.627288Z,2026-05-06T11:23:33.315741Z,2.688453,1370,45,1415,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd07-59c3-7f03-8234-c0220fb11d2e.json,True,57.0
v3-qwen3.5-2b-20260506T112333317465Z-5a87ab905542996e4f3088c1-r0,v3-qwen3.5-2b,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","4,000",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112333317465Z-5a87ab905542996e4f3088c1-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019dfd07-6445-7971-aaff-7dbec263c512,019dfd07-6445-7971-aaff-7dbec263c512,LangGraph,success,,2026-05-06T11:23:33.317669Z,2026-05-06T11:23:35.994877Z,2.677208,1528,47,1575,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd07-6445-7971-aaff-7dbec263c512.json,False,58.0
v3-qwen3.5-2b-20260506T112335996095Z-5a7bbb64554299042af8f7cc-r0,v3-qwen3.5-2b,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Snoecks; Terry Richardson,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112335996095Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfd07-6ebc-7c43-a124-5db7fd91189e,019dfd07-6ebc-7c43-a124-5db7fd91189e,LangGraph,success,,2026-05-06T11:23:35.996299Z,2026-05-06T11:23:43.865356Z,7.869057,5347,137,5484,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd07-6ebc-7c43-a124-5db7fd91189e.json,True,21.0
v3-qwen3.5-2b-20260506T112343867015Z-5a8db19d5542994ba4e3dd00-r0,v3-qwen3.5-2b,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,Yes,For Against; Local H,Against the Wind (album); EFL Cup; For Against; Hallelujah! I'm a Bum (album); Hammerjack's; Lawrence Austin; Local H; Stay (Shakespears Sister song),3,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/evals/v3-qwen3.5-2b-20260506T112343867015Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfd07-8d7b-7702-864f-05d77e6acff7,019dfd07-8d7b-7702-864f-05d77e6acff7,LangGraph,success,,2026-05-06T11:23:43.867205Z,2026-05-06T11:23:51.321800Z,7.454595,5103,105,5208,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-qwen3.5-2b/traces/019dfd07-8d7b-7702-864f-05d77e6acff7.json,True,23.0
